,sequence,api list
0,sequence 1,['LdrFindEntryForAddress']
1,sequence 2,['LdrFindEntryForAddress']
2,sequence 3,['LdrFindEntryForAddress']
3,sequence 4,['LdrFindEntryForAddress']
4,sequence 5,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
5,sequence 5,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
6,sequence 6,"['GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName']"
7,sequence 7,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
8,sequence 7,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
9,sequence 8,"['GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName']"
10,sequence 9,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
11,sequence 9,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
12,sequence 10,"['GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName']"
13,sequence 11,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
14,sequence 11,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
15,sequence 12,"['GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName']"
16,sequence 13,"['QueryProcessInformation', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
17,sequence 13,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
18,sequence 14,"['GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName']"
19,sequence 15,"['QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
20,sequence 15,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
21,sequence 16,"['GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName']"
22,sequence 17,"['OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
23,sequence 17,"['OpenProcessToken', 'OpenProcessToken', 'OpenThreadToken', 'OpenProcessToken']"
24,sequence 17,"['OpenProcessToken', 'OpenProcessToken', 'OpenThreadToken', 'OpenProcessToken']"
25,sequence 18,"['QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
26,sequence 18,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
27,sequence 19,"['GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName']"
28,sequence 20,"['OpenProcessToken', 'QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
29,sequence 20,"['OpenProcessToken', 'OpenThreadToken', 'OpenProcessToken']"
30,sequence 20,"['OpenProcessToken', 'OpenThreadToken', 'OpenProcessToken']"
31,sequence 21,"['OpenThreadToken', 'OpenThreadToken']"
32,sequence 21,['OpenThreadToken']
33,sequence 22,['OpenThreadToken']
34,sequence 22,"['OpenThreadToken', 'OpenProcessToken']"
35,sequence 22,"['OpenThreadToken', 'OpenProcessToken']"
36,sequence 23,"['QueryProcessInformation', 'OpenProcessToken', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
37,sequence 23,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
38,sequence 24,"['GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName']"
39,sequence 25,"['OpenProcessToken', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
40,sequence 25,['OpenProcessToken']
41,sequence 25,['OpenProcessToken']
42,sequence 26,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
43,sequence 26,"['QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation', 'QueryProcessInformation']"
44,sequence 27,"['GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName', 'GetProcessImageFileName']"
45,sequence 28,"['Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep']"
46,sequence 29,"['Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep']"
47,sequence 30,"['Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep']"
48,sequence 31,"['Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep']"
49,sequence 32,"['Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep']"
50,sequence 33,"['Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep', 'Sleep']"
